연번,관할,기관명칭,소재지(도로명주소),세부위치,전화번호
273,강화군,진약국,강화읍동문안길 6,약국 내,032-933-2012
274,강화군,하하약국,강화읍강화대로 395(1층),약국 내,032-932-7090
275,강화군,화도약국,화도면마니산로 728,약국 내,032-937-0777
276,강화군,e-믿음약국,강화읍강화대로 402,약국 내,032-323-1686
277,강화군,남산약국,충강화읍렬사로 26,약국 내,032-934-5670
278,강화군,은화약국,강화대로 404번길 ,약국 내,032-934-7763
279,강화군,강화정문약국,강화읍충렬사로 25,약국 내,032-221-0014
280,강화군,강화군보건소,강화읍강화읍 충렬사로 26-1,민원실,032-930-4061
281,강화군,선원보건지소,선원면 연동로 324 ,대기실,032-930-3538
282,강화군,불은보건지소,불은면 강화동로 562-3,대기실,032-930-3539
283,강화군,길상보건지소,길상면 강화동로 15-1,대기실,032-930-3540
284,강화군,화도보건지소,화도면 마니산로 703-14,대기실,032-930-3541
285,강화군,양도보건지소,양도면 강화남로 708-1,대기실,032-930-3542
286,강화군,내가보건지소,내가면 강화서로 249,대기실,032-930-3543
287,강화군,하점보건지소,하점면 강화대로 1220,대기실,032-930-3544
288,강화군,양사보건지소, 양사면 전망대로 1295-7복사,대기실,032-930-3545
289,강화군,송해보건지소,송해면 전망대로 29,대기실,032-930-3546
290,강화군,교동보건지소,교동면 교동동로 485-13복사,대기실,032-930-3547
291,강화군,삼산보건지소,삼산면 삼산북로 439,대기실,032-930-3548
292,강화군,주문보건지소,서도면 주문도1길 16,대기실,032-930-3549
293,강화군,볼음보건지소,서도면 볼음도길 174 ,대기실,032-930-3550
294,강화군,연리보건진료소,선원면 연동로73번길 47,대기실,032-930-4012
295,강화군,오두리보건진료소 ,불은면 불은남로 293-1,대기실,032-937-6813
296,강화군,건평보건진료소,양도면 건평로155번길 41,대기실,032-930-4068
297,강화군,흥왕보건진료소,화도면 해안남로 1950,대기실,032-937-4554
298,강화군,황청보건진료소,내가면 황청리 179-49,대기실,032-932-2819
299,강화군,신삼보건진료소,하점면 고려산로 506-2복사,대기실,032-933-1193
300,강화군,인화보건진료소,양사면 서사길105번길 47 ,대기실,032-934-5583
301,강화군,매음보건진료소,삼산면 삼산남로 498-8 ,대기실,032-932-3564
302,강화군,하리보건진료소,삼산면 삼산북로 790,대기실,032-932-3653
303,강화군,서검보건진료소,삼산면 서검길153번길 8,대기실,032-932-3928
304,강화군,상용보건진료소,교동면 교동동로 208-3 ,대기실,032-932-4381
305,강화군,난정보건진료소,교동면 교동서로378번길 56-28,대기실,032-934-7807
306,강화군,삼선보건진료소,교동면 교동북로 220,대기실,032-932-4806
307,옹진군,옹진군보건소,인천시 미추홀구 매소홀로 120,보건소 민원실 ,032-721-0543
